dataset_id,dataset_name,category,provider,official_source_url,download_access_url,description,geographic_coverage,spatial_resolution,temporal_resolution,temporal_start,temporal_end,update_frequency,format,variables,units,crs,license_or_terms,access_method,authentication_required,local_raw_path,connector_status,validation_status,notes
SOM_BOUNDARIES_PROJECT,Somalia - Subnational Administrative Boundaries (COD-AB),boundaries,OCHA Somalia,https://data.humdata.org/dataset/cod-ab-som,https://data.humdata.org/dataset/cod-ab-som,Canonical Somalia admin0/admin1/admin2 and operational-zone geography,Somalia; region; district,Vector polygons,Static,,,Version controlled/manual,GeoJSON ZIP; XLSX,names; PCodes; geometry,degrees,OGC CRS84 / EPSG:4326 semantics,CC BY IGO,Manual project file,No,data/som_admin_boundaries.geojson.zip,MANUAL,PASS,Authoritative metadata match: embedded v03 and valid_on 2025-01-08; 18 ADM1 and 91 ADM2. Original local download date is unrecorded; files were not replaced.
CHIRPS_V3_DAILY,CHIRPS v3 rainfall,rainfall,UCSB Climate Hazards Center,https://www.chc.ucsb.edu/data/chirps3,https://data.chc.ucsb.edu/products/CHIRPS/v3.0/,Quasi-global precipitation estimates with storage-efficient Somalia district histories,91 Somalia districts,0.25 degree production p25; 0.05 degree validation samples,Daily plus derived dekad,2014-01-09,2014-01-10,Daily preliminary; periodic final,Source GeoTIFF; derived CSV,precipitation; 7/30-day totals; dry spell; heavy rain; dekadal anomaly,mm/day and mm/period,EPSG:4326,CHC data terms,HTTPS p25 daily files,No,data/processed/rainfall/chirps_v3_*_district_*,AUTOMATED_HISTORICAL_DISTRICT_ARCHIVE,PARTIAL,The production 2000-2025 district history has not yet passed continuity and completeness checks.
MOD13Q1_061,MODIS Terra Vegetation Indices 16-Day 250m V061,vegetation,NASA LP DAAC,https://doi.org/10.5067/MODIS/MOD13Q1.061,https://planetarycomputer.microsoft.com/api/stac/v1/collections/modis-13Q1-061,NDVI/EVI district histories with strict pixel QA,91 Somalia districts; source tiles intersect Somalia,250 m source; approximately 1 km aligned overview sampling for district summaries,16 day,2015-01-17,2015-01-17,16 day,Cloud-optimized GeoTIFF mirror; source HDF available,NDVI; EVI; VI_Quality; pixel_reliability,"index, scale 0.0001",MODIS sinusoidal,NASA LP DAAC data policy; Microsoft hosts mirror,STAC + signed HTTPS,No for mirror; Earthdata login for direct LP DAAC,data/processed/vegetation/mod13q1_v061_district_*,AUTOMATED_HISTORICAL_DISTRICT_ARCHIVE,PARTIAL,The production 2015-2025 QA-masked district history has not yet passed completeness checks.
SPL3SMP_E_006,SMAP Enhanced L3 Radiometer Soil Moisture Daily 9km V006,soil_moisture,NASA NSIDC DAAC,https://nsidc.org/data/spl3smp_e/versions/6,NASA Earthdata/NSIDC subset service,Daily enhanced passive soil moisture,Somalia subset,9 km EASE-Grid 2.0,Daily,2015-03-31 (provider),Present (provider),Daily,HDF5/netCDF4,soil_moisture; retrieval_qual_flag; latitude; longitude,cm3/cm3,EASE-Grid 2.0 / EPSG:6933 grid with lat/lon arrays,NASA Earth science data policy,Earthdata authenticated subset,Yes,data/SPL3SMP_E_006-20260825_092003/,MANUAL_EARTHDATA,PARTIAL,Local coverage is July 2026 only; this validates V006 structure and QA but not the 2015-present archive. Connector status: BLOCKED_INTERACTIVE_AUTH until an Earthdata token is configured outside source control.
NASA_POWER_MERRA2_WETNESS_2000_2025,NASA POWER MERRA-2/GEOS surface and root-zone wetness,antecedent_wetness,NASA POWER,https://power.larc.nasa.gov/docs/methodology/meteorology/,https://power.larc.nasa.gov/api/temporal/daily/point,Modeled relative surface and root-zone wetness for drought and flood antecedent conditions,91 Somalia districts sampled from 72 unique native source cells,0.5 x 0.625 degree native source grid,Daily,2000-01-01,2025-12-31,Daily; MERRA-2 plus near-real-time GEOS,JSON; derived gzip CSV,GWETTOP; GWETROOT,unitless relative wetness,EPSG:4326 point coordinates,NASA data policy,Public point API with deduplicated native cells,No,data/raw/climate/nasa_power_merra2/,AUTOMATED,PASS,"Primary historical antecedent-wetness substitute; relative modeled wetness, not SMAP volumetric soil moisture. Nearest-cell district sampling is explicit."
SWALIM_SNRFA_RIVER,Somalia river levels and station metadata,hydrology,FAO SWALIM / SNRFA,https://snrfa.faoswalim.org/stations/,FAO SWALIM station export,Observed levels and authoritative metadata for five Juba/Shabelle gauges,Five stations,Point gauges,Station-dependent observations,1951-01-01,2026-08-25,Operational/station-dependent,CSV; JSON,date; station_number; level; coordinates; moderate/high/bankfull thresholds,metres; decimal degrees,EPSG:4326,FAO SWALIM terms,Manual export plus public metadata pages,Unknown,data/snrfa_level_data*.csv,MANUAL,PASS,Coordinates and current thresholds are in data/processed/river_station_metadata.*; threshold effective dates are not published. JB009 is 1.252 km outside the project Doolow polygon and remains unchanged.
MOD11A1_061,MODIS Terra Daily LST/Emissivity 1km V061,temperature,NASA LP DAAC,https://doi.org/10.5067/MODIS/MOD11A1.061,https://planetarycomputer.microsoft.com/api/stac/v1/collections/modis-11A1-061,Day/night land surface temperature with QC,Global; one Somalia-intersecting validation tile local,1 km,Daily,2000-02-24 (provider),Present (provider),Daily,Cloud-optimized GeoTIFF mirror; source HDF available,LST_Day_1km; QC_Day; LST_Night_1km; QC_Night,Kelvin encoded x0.02; derived Celsius,MODIS sinusoidal,NASA LP DAAC data policy; Microsoft hosts mirror,STAC + signed HTTPS,No for mirror; Earthdata login for direct LP DAAC,data/raw/temperature/modis_v061_sample/,AUTOMATED_BOUNDED_SAMPLE,PARTIAL,One daily Terra tile (2020-07-01) validates MOD11A1 V061 decoding; the full daily historical tile set is not local.
IPC_SOMALIA_HDX,Somalia IPC acute food insecurity analyses,food_security,IPC via HDX,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159532/,https://data.humdata.org/dataset/somalia-acute-food-insecurity-country-data,"National, admin1, and analysis-area population by IPC phase and current/projected validity",Somalia; national; level 1; IPC analysis areas,Administrative/analysis area,Assessment periods,2017-01-01,2026-06-30,Per IPC analysis,CSV; GeoJSON,analysis date; validity; phase; number; percentage,persons; percent,EPSG:4326 for GeoJSON,HDX/IPC resource terms,HTTPS fixed resources,No,data/raw/food_security/,AUTOMATED,REVIEW,"Area rows remain native IPC analysis/livelihood areas. Use the versioned polygon-overlap mapping for the represented snapshot; urban/IDP reference points are not district labels, and historical geometry stability is not assumed."
WFP_SOM_MARKET_HDX,WFP Somalia food prices,market_prices,WFP via HDX,https://data.humdata.org/dataset/wfp-food-prices-for-somalia,https://data.humdata.org/dataset/26727d1b-af49-4323-9215-c2ac479abb87,Historical market-level commodity prices,Somalia markets,Market points,Monthly/observation,1995-01-15,2026-06-15,Provider-dependent,CSV,market; commodity; unit; currency; price; usdprice,source unit/currency; USD field,EPSG:4326 coordinates,HDX/WFP resource terms,HTTPS fixed resources,No,data/raw/market_prices/,AUTOMATED,REVIEW,"Units, currencies, grades, and price types remain explicit; no incompatible normalization applied."
WORLDPOP_R2025A_SOM_2025,WorldPop Somalia 2025 constrained population R2025A v1,population,"WorldPop, University of Southampton",https://doi.org/10.5258/SOTON/WP00839,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2025/SOM/v1/100m/constrained/som_pop_2025_CN_100m_R2025A_v1.tif,Modeled population counts allocated to 100m grid cells,Somalia,3 arc-second (~100m),Reference year,2025,2025,Release/version dependent,GeoTIFF,population count,persons per pixel,EPSG:4326,CC BY 4.0; R2025A alpha disclaimer,HTTPS bulk,No,data/raw/population/som_pop_2025_CN_100m_R2025A_v1.tif,AUTOMATED,PASS,"WorldPop R2025A v1 is an alpha modeled estimate, not a census; boundary-version mismatch can affect border cells."
